ANNEE,SEXE,AGE_CAT,CSP,AGGLOMERATION,DIPLOME,REGION,INTERNET,EQUIPEMENT,DIVERTISSEMENT,EMPLFORM,COMMUNICATION,ADMINISTRATIF,ACHATS,SECURITE,AGE
2007,Homme,70 ans et plus,Retraité,Communes rurales,BAC,,Non,Oui,Non,Non,,Oui,Non,,77
2007,Femme,60-69 ans,Personne au foyer,Communes rurales,BAC,,Non,Oui,Non,,,,,,64
2007,Homme,25-39 ans,Profession Intermédiaire,Communes rurales,BEPC,,Oui,Oui,Non,Non,,Oui,Oui,,34
2007,Femme,40-59 ans,Cadre,Communes rurales,Diplômé du supérieur,,Oui,Oui,Non,Non,,Oui,Oui,,50
2007,Homme,25-39 ans,Indépendant,Communes rurales,BAC,,Non,Oui,Non,Non,,Non,Oui,,39
2007,Homme,70 ans et plus,Retraité,Communes rurales,Non diplômé,,Non,Oui,Non,,,,,,79
2007,Homme,25-39 ans,Ouvrier,Communes rurales,BEPC,,Non,Oui,Non,,,,,,36
2007,Homme,70 ans et plus,Retraité,2 000 à 20 000 hab.,Non diplômé,,Non,Oui,Non,,,,,,80
2007,Homme,70 ans et plus,Retraité,2 000 à 20 000 hab.,Non diplômé,,Non,Non,Non,,,,,,71
2007,Homme,18-24 ans,Ouvrier,2 000 à 20 000 hab.,BAC,,Oui,Oui,Non,Oui,,Non,Non,,22
2007,Femme,25-39 ans,Ouvrier,2 000 à 20 000 hab.,Non diplômé,,Non,Oui,Non,Non,,Non,Non,,33
2007,Femme,40-59 ans,Personne au foyer,2 000 à 20 000 hab.,BAC,,Non,Oui,Non,,,,,,56
2007,Homme,40-59 ans,Ouvrier,2 000 à 20 000 hab.,Non diplômé,,Non,Oui,Non,Non,,Non,Non,,56
2007,Femme,25-39 ans,Employé,2 000 à 20 000 hab.,BEPC,,Oui,Oui,Non,Non,,Oui,Oui,,37
2007,Homme,40-59 ans,Personne au foyer,Communes rurales,Non diplômé,,Non,Non,Non,,,,,,53
2007,Femme,25-39 ans,Profession Intermédiaire,2 000 à 20 000 hab.,BAC,,Oui,Oui,Non,Oui,,Non,Oui,,30
2007,Homme,60-69 ans,Retraité,2 000 à 20 000 hab.,BEPC,,Oui,Oui,Non,Non,,Oui,Oui,,60
2007,Femme,40-59 ans,Employé,Communes rurales,Diplômé du supérieur,,Oui,Oui,Non,Non,,Oui,Oui,,48
2007,Femme,60-69 ans,Retraité,Communes rurales,Non diplômé,,Non,Non,Non,,,,,,69
2007,Homme,18-24 ans,Autre inactif,Communes rurales,BAC,,Oui,Oui,Non,Oui,,Non,Non,,18
2007,Femme,60-69 ans,Retraité,Communes rurales,Diplômé du supérieur,,Non,Oui,Non,,,,,,68
